x,y,u
0.279843,0.00195695,-8.39966e-05
0.2818,0.00195695,-8.42697e-05
0.283757,0.00195695,-8.45391e-05
0.285714,0.00195695,-8.48046e-05
0.287671,0.00195695,-8.50663e-05
0.289628,0.00195695,-8.53242e-05
0.291585,0.00195695,-8.55783e-05
0.293542,0.00195695,-8.58287e-05
0.295499,0.00195695,-8.60753e-05
0.297456,0.00195695,-8.63183e-05
0.299413,0.00195695,-8.65575e-05
0.30137,0.00195695,-8.67931e-05
0.303327,0.00195695,-8.7025e-05
0.305284,0.00195695,-8.72532e-05
0.307241,0.00195695,-8.74779e-05
0.309198,0.00195695,-8.76989e-05
0.311155,0.00195695,-8.79164e-05
0.313112,0.00195695,-8.81303e-05
0.315068,0.00195695,-8.83407e-05
0.317025,0.00195695,-8.85475e-05
0.318982,0.00195695,-8.87508e-05
0.320939,0.00195695,-8.89507e-05
0.322896,0.00195695,-8.91471e-05
0.324853,0.00195695,-8.93401e-05
0.32681,0.00195695,-8.95296e-05
0.328767,0.00195695,-8.97157e-05
0.330724,0.00195695,-8.98985e-05
0.332681,0.00195695,-9.00779e-05
0.334638,0.00195695,-9.02539e-05
0.336595,0.00195695,-9.04266e-05
0.338552,0.00195695,-9.0596e-05
0.340509,0.00195695,-9.07622e-05
0.342466,0.00195695,-9.0925e-05
0.344423,0.00195695,-9.10846e-05
0.34638,0.00195695,-9.1241e-05
0.348337,0.00195695,-9.13942e-05
0.350294,0.00195695,-9.15442e-05
0.35225,0.00195695,-9.1691e-05
0.354207,0.00195695,-9.18347e-05
0.356164,0.00195695,-9.19752e-05
0.358121,0.00195695,-9.21126e-05
0.360078,0.00195695,-9.2247e-05
0.362035,0.00195695,-9.23782e-05
0.363992,0.00195695,-9.25064e-05
0.365949,0.00195695,-9.26316e-05
0.367906,0.00195695,-9.27537e-05
0.369863,0.00195695,-9.28728e-05
0.37182,0.00195695,-9.2989e-05
0.373777,0.00195695,-9.31022e-05
0.375734,0.00195695,-9.32124e-05
0.377691,0.00195695,-9.33198e-05
0.379648,0.00195695,-9.34242e-05
0.381605,0.00195695,-9.35257e-05
0.383562,0.00195695,-9.36243e-05
0.385519,0.00195695,-9.37201e-05
0.387476,0.00195695,-9.38131e-05
0.389432,0.00195695,-9.39032e-05
0.391389,0.00195695,-9.39905e-05
0.393346,0.00195695,-9.4075e-05
0.395303,0.00195695,-9.41568e-05
0.39726,0.00195695,-9.42358e-05
0.399217,0.00195695,-9.4312e-05
0.401174,0.00195695,-9.43856e-05
0.403131,0.00195695,-9.44564e-05
0.405088,0.00195695,-9.45246e-05
0.407045,0.00195695,-9.45901e-05
0.409002,0.00195695,-9.46529e-05
0.410959,0.00195695,-9.47131e-05
0.412916,0.00195695,-9.47706e-05
0.414873,0.00195695,-9.48255e-05
0.41683,0.00195695,-9.48779e-05
0.418787,0.00195695,-9.49277e-05
0.420744,0.00195695,-9.49748e-05
0.422701,0.00195695,-9.50195e-05
0.424658,0.00195695,-9.50616e-05
0.426614,0.00195695,-9.51012e-05
0.428571,0.00195695,-9.51383e-05
0.430528,0.00195695,-9.51728e-05
0.432485,0.00195695,-9.52049e-05
0.434442,0.00195695,-9.52346e-05
0.436399,0.00195695,-9.52618e-05
0.438356,0.00195695,-9.52865e-05
0.440313,0.00195695,-9.53088e-05
0.44227,0.00195695,-9.53287e-05
0.444227,0.00195695,-9.53462e-05
0.446184,0.00195695,-9.53613e-05
0.448141,0.00195695,-9.5374e-05
0.450098,0.00195695,-9.53843e-05
0.452055,0.00195695,-9.53923e-05
0.454012,0.00195695,-9.53979e-05
0.455969,0.00195695,-9.54013e-05
0.457926,0.00195695,-9.54022e-05
0.459883,0.00195695,-9.54009e-05
0.46184,0.00195695,-9.53973e-05
0.463796,0.00195695,-9.53914e-05
0.465753,0.00195695,-9.53832e-05
0.46771,0.00195695,-9.53727e-05
0.469667,0.00195695,-9.53599e-05
0.471624,0.00195695,-9.5345e-05
0.473581,0.00195695,-9.53277e-05
0.475538,0.00195695,-9.53082e-05
0.477495,0.00195695,-9.52865e-05
0.479452,0.00195695,-9.52626e-05
0.481409,0.00195695,-9.52365e-05
0.483366,0.00195695,-9.52082e-05
0.485323,0.00195695,-9.51776e-05
0.48728,0.00195695,-9.51449e-05
0.489237,0.00195695,-9.511e-05
0.491194,0.00195695,-9.5073e-05
0.493151,0.00195695,-9.50337e-05
0.495108,0.00195695,-9.49923e-05
0.497065,0.00195695,-9.49488e-05
0.499022,0.00195695,-9.49031e-05
0.500978,0.00195695,-9.48552e-05
